player_id,name,team,role,role_P,role_D,role_C,role_A,fvm,qta,ovr,prezzo_cons,titolarita_pct,titolarita,fragility_score,partite_saltate_tot,giorni_stop_tot,disponibilita_pct,recidive_muscolari,is_injured_initial,is_rigorista,is_oop,presenze_2526,mv_2526,fm_2526,xg90_2526,xa90_2526,rating_2526,presenze_2627,starts_2627,minuti_2627,gol_2627,assist_2627,tot_bonus_2627,tot_malus_2627,mv_2627,fm_2627,xg90_2627,xa90_2627,roi_fm_su_prezzo,target_fanta_media,target_gol,target_assist,target_minuti,target_roi_fvm
6238,Oyono A.,Frosinone,D,0,1,0,0,10.0,6.0,66.0,1.0,87.0,87.0,5.0,0,0,100.0,0,0,0,1,0,6.0,6.0,0.0,0.0,6.5,5,4,434,0,1,1.0,0.5,6.4,6.5,0.07,0.06,6.5,6.5,0,1,434,6.5
7564,Leysen F.,Sassuolo,D,0,1,0,0,12.0,6.0,66.0,1.0,87.0,87.0,17.0,3,17,96.1,0,0,0,0,0,6.0,6.0,0.07,0.02,7.13,5,4,415,0,1,1.0,0.5,6.2,6.3,0.02,0.01,6.3,6.3,0,1,415,6.3
7526,Comert,Torino,D,0,1,0,0,12.0,4.0,66.0,1.0,80.0,80.0,37.0,5,45,93.4,1,0,0,0,0,6.0,6.0,0.0,0.0,6.5,4,4,338,0,1,1.0,0.0,5.88,6.12,0.01,0.02,6.12,6.12,0,1,338,6.12
7274,Zè Pedro,Cagliari,D,0,1,0,0,13.0,5.0,66.0,1.0,100.0,100.0,41.0,9,56,88.2,0,0,0,0,23,5.78,5.7,0.0,0.0,6.5,5,5,433,0,0,0.0,0.5,6.3,6.2,0.04,0.03,6.2,6.2,0,0,433,6.2
2169,Rodriguez R.,Torino,D,0,1,0,0,12.0,5.0,66.0,1.0,7.0,7.0,5.0,0,0,100.0,0,0,0,1,17,5.65,5.74,0.0,0.0,6.5,1,0,24,0,0,0.0,0.0,6.0,6.0,,,6.0,6.0,0,0,24,6.0
6766,Kelly L.,Juventus,D,0,1,0,0,12.0,5.0,66.0,1.0,41.0,41.0,53.0,6,41,92.1,2,0,0,0,35,6.01,6.07,0.03,0.04,7.12,4,1,179,0,0,0.0,0.0,5.62,5.62,0.06,0.01,5.62,5.62,0,0,179,5.62
7326,Helland,Bologna,D,0,1,0,0,12.0,3.0,66.0,1.0,60.0,60.0,9.0,1,7,98.7,0,0,0,0,6,5.5,5.33,0.0,0.0,6.5,3,3,262,0,0,0.0,0.0,6.17,6.17,0.05,0.08,6.17,6.17,0,0,262,6.17
5695,Haps,Venezia,D,0,1,0,0,10.0,5.0,65.0,1.0,67.0,67.0,32.0,3,17,96.1,0,0,0,1,0,6.0,6.0,0.0,0.0,6.5,4,3,276,0,1,1.0,0.5,5.5,5.62,0.12,0.05,5.62,5.62,0,1,276,5.62
7014,Smolcic I.,Como,D,0,1,0,0,10.0,4.0,65.0,1.0,14.0,14.0,5.0,0,0,100.0,0,0,0,1,28,5.96,5.86,0.05,0.04,6.96,2,0,46,0,0,0.0,0.0,5.75,5.75,,,5.75,5.75,0,0,46,5.75
5010,Ismajli,Torino,D,0,1,0,0,13.0,7.0,65.0,1.0,54.0,54.0,75.0,28,189,63.2,6,0,0,0,25,5.92,5.9,0.01,0.01,6.95,4,2,282,0,0,0.0,0.0,5.88,5.88,,0.01,5.88,5.88,0,0,282,5.88
